2026-01-25T21:44:30.014781, advanced_fraction_comparison_hard, 36.16, 0.000, 1.00, Which is smaller: 1/2 or 1/8?, 1/8, 1/8
2026-01-25T21:44:35.454042, advanced_fraction_comparison_hard, 4.38, 0.000, 1.00, Which is smaller: 2/3 or 7/9?, 2/3, 2/3
2026-01-25T21:44:39.818112, fraction_comparison, 2.05, 0.000, 1.00, Which is smaller: 4/9 or 7/8?, 4/9, 4/9
2026-01-25T21:44:43.989946, multiplication_choice, 3.31, 0.000, 1.00, What is 3 × 4 ?, 12, 12
2026-01-25T21:44:47.907105, multiplication_choice, 3.16, 0.000, 1.00, What is 5 × 7 ?, 35, 35
2026-01-25T21:44:52.772342, number_line, 4.00, 0.008, 1.00, Click where you think 0.11 is, 0.11, 0.11833333333333333
2026-01-25T21:44:59.340537, fraction_comparison, 3.97, 0.000, 1.00, Which is larger: 1/2 or 1/8?, 1/2, 1/2
2026-01-25T21:45:03.189647, multiplication_choice, 2.45, 0.000, 1.00, What is 3 × 3 ?, 9, 9
2026-01-25T21:45:07.519644, number_line, 2.76, 0.005, 1.00, Click where you think 0.27 is, 0.27, 0.265
2026-01-25T21:45:17.705870, fraction_comparison, 6.63, 0.000, 1.00, Which is smaller: 4/5 or 1/3?, 1/3, 1/3
2026-01-25T21:45:24.852554, multiplication_choice, 6.17, 1.000, 0.00, What is 6 × 3 ?, 18, 19
2026-01-25T21:45:48.078203, fraction_comparison, 20.92, 0.050, 0.00, Which is larger: 1/5 or 1/4?, 1/4, 1/5
2026-01-25T21:45:52.223484, advanced_fraction_comparison_hard, 2.77, 0.000, 1.00, Which is smaller: 5/6 or 1/2?, 1/2, 1/2
2026-01-25T21:46:14.263668, multiplication_choice, 21.20, 3.000, 0.00, What is 6 × 4 ?, 24, 21
2026-01-25T21:46:24.299079, multiplication_choice, 8.87, 0.000, 1.00, What is 5 × 4 ?, 20, 20
2026-01-25T21:46:26.894482, advanced_fraction_comparison_hard, 1.93, 0.100, 0.00, Which is smaller: 3/5 or 1/2?, 1/2, 3/5
2026-01-25T21:46:30.632705, multiplication_choice, 1.35, 0.000, 1.00, What is 5 × 4 ?, 20, 20
2026-01-25T21:46:34.021220, number_line, 2.83, 0.010, 0.80, Click where you think 0.56 is, 0.56, 0.55
2026-01-25T21:46:41.150812, number_line, 3.38, 0.053, 0.60, Click where you think 10/11 is, 0.9090909090909091, 0.9616666666666667
2026-01-25T21:46:48.999588, multiplication_choice, 5.72, 0.000, 1.00, What is 3 × 5 ?, 15, 15
2026-01-25T21:46:56.180666, advanced_fraction_comparison_hard, 6.32, 0.333, 0.00, Which is smaller: 1/3 or 2/3?, 1/3, 2/3
